feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
budget_yj,0.5895842200532969,1.1147881257872068e-241,0.6709186981414991,0.0,2583
popularity_log,0.5774010677255665,1.377541055639445e-229,0.7025555928470238,0.0,2583
runtime,0.22303621459093134,1.766504420620386e-30,0.2197067115206158,1.325259384204997e-29,2583
vote_average_yj,0.19810855203625344,2.8545744144952217e-24,0.13381032458128564,8.604241225505326e-12,2583
day_of_week,-0.1703885345599847,2.798410343027192e-18,-0.16068825944901988,2.1007762530487146e-16,2583
year,0.14640338781625975,7.580005244371764e-14,0.12647119366881523,1.1149760384096185e-10,2583
month,0.029051657190719896,0.1399182005963667,0.03511625874544178,0.07435740848157725,2583
