feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
popularity_log,0.7042810520564963,0.0,0.7025555928470238,0.0,2583
budget_yj,0.6948036605917067,0.0,0.6709186981414991,0.0,2583
runtime,0.21122685528286678,1.93610253876077e-27,0.2197067115206158,1.325259384204997e-29,2583
vote_average_yj,0.16959346565911332,4.026207789016785e-18,0.13381032458128564,8.604241225505326e-12,2583
year,0.15405676187677353,3.464768734260068e-15,0.12647119366881523,1.1149760384096185e-10,2583
day_of_week,-0.13794804079604928,1.90512458914257e-12,-0.16068825944901988,2.1007762530487146e-16,2583
month,0.0328667735108458,0.09491184918764571,0.03511625874544178,0.07435740848157725,2583
